year,fund name,model,mape,rmse
2014.0,VCDAX_V_N,Autoregressive Model,0.07179220855819075,0.04133558393628267
2014.0,VCSAX_V_N,Autoregressive Model,0.12115166593373936,0.04334033169470619
2014.0,VENAX_V_N,Autoregressive Model,0.15908698655772763,0.06929903067214731
2014.0,VFAIX_V_N,Autoregressive Model,0.1009611853914062,0.03841310236749342
2014.0,VGSLX_V_N,Autoregressive Model,0.10449300992307768,0.03926825218444367
2014.0,VGHCX_V_N,Autoregressive Model,0.1893335063260613,0.07625592375874667
2014.0,VITAX_V_N,Autoregressive Model,0.07966333091160199,0.0402366142136514
2014.0,VSPVX_V_N,Autoregressive Model,0.2498244269591197,0.03784022090265728
2014.0,VTCAX_V_N,Autoregressive Model,0.17602644969192785,0.07111988638776247
2014.0,VUIAX_V_N,Autoregressive Model,0.32524350248625133,0.0543205269777735
2014.0,VINAX_V_N,Autoregressive Model,0.09190740405786953,0.04757760269394155
2014.0,VUIAX_P_N,Autoregressive Model,0.1334441586950272,0.057856924823637926
2014.0,VGHCX_P_N,Autoregressive Model,0.08504724549061964,0.08705189840098562
2014.0,VFAIX_P_N,Autoregressive Model,0.10343854672561932,0.029322880665554718
2014.0,VSPVX_P_N,Autoregressive Model,0.10480237699632618,0.03792981709754653
2014.0,VITAX_P_N,Autoregressive Model,0.23017648529532253,0.030197443816906214
2014.0,VGSLX_P_N,Autoregressive Model,0.06614849091626332,0.038365132408254496
2014.0,VINAX_P_N,Autoregressive Model,0.08378751212245672,0.03336035582862652
2014.0,VTCAX_P_N,Autoregressive Model,0.11912439863500782,0.04491036561662929
2014.0,VCSAX_P_N,Autoregressive Model,0.09732161515181403,0.04613436538681383
2014.0,VENAX_P_N,Autoregressive Model,0.18994859022578955,0.09141564032206265
2014.0,VCDAX_P_N,Autoregressive Model,0.1300145282429612,0.030763257077134905
2015.0,VCDAX_V_N,Autoregressive Model,0.08134667320286876,0.05454329508074815
2015.0,VCSAX_V_N,Autoregressive Model,0.09108888677875086,0.062156586824485244
2015.0,VENAX_V_N,Autoregressive Model,0.11080189020749498,0.06497188363846905
2015.0,VFAIX_V_N,Autoregressive Model,0.07188493412266306,0.04019356815326787
2015.0,VGSLX_V_N,Autoregressive Model,0.0997948551179196,0.06578821580132735
2015.0,VGHCX_V_N,Autoregressive Model,0.22370432060523748,0.17078418870714987
2015.0,VITAX_V_N,Autoregressive Model,0.11365736085177981,0.06082210808741649
2015.0,VSPVX_V_N,Autoregressive Model,0.0761576143714623,0.044655261944399005
2015.0,VTCAX_V_N,Autoregressive Model,0.1020018019030223,0.06358258289703791
2015.0,VUIAX_V_N,Autoregressive Model,0.14114556589357105,0.07471701157514582
2015.0,VINAX_V_N,Autoregressive Model,0.09205511212661685,0.05326751025936105
2015.0,VUIAX_P_N,Autoregressive Model,0.08006283126141131,0.05863565583898848
2015.0,VGHCX_P_N,Autoregressive Model,0.09979478776679736,0.10008516705220262
2015.0,VFAIX_P_N,Autoregressive Model,0.1234354740321214,0.0417199345862571
2015.0,VSPVX_P_N,Autoregressive Model,0.18678644983535592,0.059641652643475956
2015.0,VITAX_P_N,Autoregressive Model,0.11242732122546042,0.0327991123534284
2015.0,VGSLX_P_N,Autoregressive Model,0.1351165449918122,0.07582888711350146
2015.0,VINAX_P_N,Autoregressive Model,0.1065770564015378,0.04861397517496803
2015.0,VTCAX_P_N,Autoregressive Model,0.20259687979840763,0.06557356549396345
2015.0,VCSAX_P_N,Autoregressive Model,0.13186822978582666,0.06999004833999917
2015.0,VENAX_P_N,Autoregressive Model,0.10569430831127202,0.07458700590170142
2015.0,VCDAX_P_N,Autoregressive Model,0.10193678764396251,0.03418099220579571
2016.0,VCDAX_V_N,Autoregressive Model,0.11956327546459897,0.06619761363686535
2016.0,VCSAX_V_N,Autoregressive Model,0.08473350047392271,0.05424910424732165
2016.0,VENAX_V_N,Autoregressive Model,0.14645815803640425,0.10020754623576467
2016.0,VFAIX_V_N,Autoregressive Model,0.09213724724428435,0.06419581862842587
2016.0,VGSLX_V_N,Autoregressive Model,0.15952410675643452,0.07431072285702756
2016.0,VGHCX_V_N,Autoregressive Model,0.1612198214967369,0.11419013932485109
2016.0,VITAX_V_N,Autoregressive Model,0.10151848322615867,0.06564014519238863
2016.0,VSPVX_V_N,Autoregressive Model,0.09096379684923435,0.05595625483863685
2016.0,VTCAX_V_N,Autoregressive Model,0.09817160303933326,0.06552700777336276
2016.0,VUIAX_V_N,Autoregressive Model,0.16256361047571663,0.08722080532145414
2016.0,VINAX_V_N,Autoregressive Model,0.1141410923749319,0.06498641859123352
2016.0,VUIAX_P_N,Autoregressive Model,0.12304168350841992,0.07100508151360489
2016.0,VGHCX_P_N,Autoregressive Model,0.2470461084777847,0.11447492341912217
2016.0,VFAIX_P_N,Autoregressive Model,0.04860767346815257,0.035604443165239225
2016.0,VSPVX_P_N,Autoregressive Model,0.08441849883798865,0.047890960039264456
2016.0,VITAX_P_N,Autoregressive Model,0.5318097194214557,0.0320501223659251
2016.0,VGSLX_P_N,Autoregressive Model,0.1448644766878901,0.09604783621211943
2016.0,VINAX_P_N,Autoregressive Model,0.062225068180782106,0.03612680089526401
2016.0,VTCAX_P_N,Autoregressive Model,0.12338704431423482,0.047295173209076065
2016.0,VCSAX_P_N,Autoregressive Model,0.11180886463670071,0.07055399754091823
2016.0,VENAX_P_N,Autoregressive Model,0.12854785633390453,0.0918120184251566
2016.0,VCDAX_P_N,Autoregressive Model,0.2895228011266645,0.03266850546543384
2017.0,VCDAX_V_N,Autoregressive Model,0.17019467034341898,0.04292034737055063
2017.0,VCSAX_V_N,Autoregressive Model,0.12923970816449742,0.03364275693952231
2017.0,VENAX_V_N,Autoregressive Model,0.18719329745907615,0.04817385978221394
2017.0,VFAIX_V_N,Autoregressive Model,0.1893239242638743,0.07108030768669826
2017.0,VGSLX_V_N,Autoregressive Model,0.14480586608825094,0.051548123867211554
2017.0,VGHCX_V_N,Autoregressive Model,0.15125566719165848,0.0824266477760897
2017.0,VITAX_V_N,Autoregressive Model,0.13341220956344516,0.061875353795274604
2017.0,VSPVX_V_N,Autoregressive Model,0.16752587234125943,0.04407340669161739
2017.0,VTCAX_V_N,Autoregressive Model,0.14413848723304645,0.06792804398122991
2017.0,VUIAX_V_N,Autoregressive Model,0.17820029184707348,0.03947387778290708
2017.0,VINAX_V_N,Autoregressive Model,0.12376587352370969,0.04205928755915655
2017.0,VUIAX_P_N,Autoregressive Model,0.06565421718445558,0.029975744405362815
2017.0,VGHCX_P_N,Autoregressive Model,0.08321410690975431,0.042020793287177394
2017.0,VFAIX_P_N,Autoregressive Model,0.12720498081578835,0.04139982680230871
2017.0,VSPVX_P_N,Autoregressive Model,0.12305541912116746,0.02628941274258811
2017.0,VITAX_P_N,Autoregressive Model,0.13467982064353534,0.025782648840183962
2017.0,VGSLX_P_N,Autoregressive Model,0.1458863764299111,0.04580425707837377
2017.0,VINAX_P_N,Autoregressive Model,0.2694443485823424,0.028138141154900174
2017.0,VTCAX_P_N,Autoregressive Model,0.11039827252869183,0.0542898597156391
2017.0,VCSAX_P_N,Autoregressive Model,0.12750021795783506,0.03458176775911677
2017.0,VENAX_P_N,Autoregressive Model,0.0909245587091134,0.04448652173500428
2017.0,VCDAX_P_N,Autoregressive Model,0.12636507957596477,0.016165781853644375
2018.0,VCDAX_V_N,Autoregressive Model,0.3030164771559002,0.08830632372951443
2018.0,VCSAX_V_N,Autoregressive Model,0.20656690907907566,0.06809508814442855
2018.0,VENAX_V_N,Autoregressive Model,0.19263912364818905,0.07776437127341007
2018.0,VFAIX_V_N,Autoregressive Model,0.1333566309606852,0.07846454352583974
2018.0,VGSLX_V_N,Autoregressive Model,0.10848000690719019,0.052195263508259
2018.0,VGHCX_V_N,Autoregressive Model,0.11817937984107245,0.06619847700905697
2018.0,VITAX_V_N,Autoregressive Model,0.17355356462606567,0.08799239734214455
2018.0,VSPVX_V_N,Autoregressive Model,0.16120668291749948,0.0647458853087418
2018.0,VTCAX_V_N,Autoregressive Model,0.190447746448921,0.0981877111239532
2018.0,VUIAX_V_N,Autoregressive Model,0.16346431177740542,0.059702112291118686
2018.0,VINAX_V_N,Autoregressive Model,0.19868150190365025,0.08892179255925677
2018.0,VUIAX_P_N,Autoregressive Model,0.23019342277032687,0.08942500905606887
2018.0,VGHCX_P_N,Autoregressive Model,0.0806636917307194,0.05972119173531213
2018.0,VFAIX_P_N,Autoregressive Model,0.11538604994572843,0.06048015322305929
2018.0,VSPVX_P_N,Autoregressive Model,0.21533798571376936,0.04940536276821488
2018.0,VITAX_P_N,Autoregressive Model,0.11434141899477594,0.054922013786605856
2018.0,VGSLX_P_N,Autoregressive Model,0.16598876355643352,0.07120232677524711
2018.0,VINAX_P_N,Autoregressive Model,0.10255132742548981,0.05291063253959059
2018.0,VTCAX_P_N,Autoregressive Model,0.21216873724049884,0.06642742640101572
2018.0,VCSAX_P_N,Autoregressive Model,0.14369595079864791,0.0581712907322491
2018.0,VENAX_P_N,Autoregressive Model,0.10046570602757052,0.041079581973589345
2018.0,VCDAX_P_N,Autoregressive Model,0.10730029067761485,0.05524991406082881
2019.0,VCDAX_V_N,Autoregressive Model,0.1994828802941194,0.08151999131503636
2019.0,VCSAX_V_N,Autoregressive Model,0.16431862779203069,0.06576018163541954
2019.0,VENAX_V_N,Autoregressive Model,0.44143724338516455,0.09508578533702346
2019.0,VFAIX_V_N,Autoregressive Model,0.17234374416531617,0.0568980155675654
2019.0,VGSLX_V_N,Autoregressive Model,0.4689174399092997,0.08102938491785792
2019.0,VGHCX_V_N,Autoregressive Model,0.6058603518345581,0.1438404228954517
2019.0,VITAX_V_N,Autoregressive Model,0.15831331687232494,0.06988944477923281
2019.0,VSPVX_V_N,Autoregressive Model,0.11611112643694507,0.06603065398908153
2019.0,VTCAX_V_N,Autoregressive Model,0.1258669368499575,0.08759405255774158
2019.0,VUIAX_V_N,Autoregressive Model,0.3164503783959451,0.06563233745603435
2019.0,VINAX_V_N,Autoregressive Model,0.15264332204554215,0.0826279415608254
2019.0,VUIAX_P_N,Autoregressive Model,0.119400456006851,0.05963607077381717
